TotalVac,Doseone,Series,Booster,Mask,infection,death
5852,1139,655,1202,0,2390,33
6405,1203,702,1236,0,3510,50
7312,1374,754,1392,0,3429,64
7226,1337,791,1347,0,3482,24
6250,1123,697,1286,0,4553,46
7261,1231,688,1412,0,4344,47
10929,2482,1279,2088,0,4846,44
8125,1350,737,1550,0,4420,53
13785,1896,1073,2410,0,4490,40
20135,2490,1525,3437,0,4031,65
15065,1837,1158,2731,0,2960,74
12329,1490,993,2238,0,6067,164
24635,2742,1586,4130,0,9151,89
28333,2898,1873,4405,0,6507,83
32637,3092,2067,5097,0,9236,83
23979,2175,1582,3722,0,9725,73
24823,2700,1725,4080,0,11535,66
40200,3759,2654,6090,0,6336,26
43559,4017,2636,6512,0,5924,59
54351,4259,3083,7531,0,5478,66
72005,5064,3840,9207,0,5311,63
69337,4929,3718,8706,0,5143,51
56021,4259,3177,7004,0,4463,37
73043,5513,4005,8604,0,7457,116
45288,3915,2837,4883,0,3652,39
38197,3461,2866,3952,0,4131,67
9274,2220,1467,1105,0,5299,60
10874,2782,1786,2419,0,7334,76
13808,3224,2040,3058,0,9430,52
15796,3647,2209,3528,0,13272,75
18197,3978,2392,4237,0,15018,66
21166,4335,2699,5148,0,13478,89
26876,4634,2930,6079,0,16343,69
30099,5079,2967,6312,0,14392,68
22255,4249,2413,4903,0,15853,57
18237,4048,2298,4279,0,12836,47
23929,5594,2722,5383,0,12342,82
24079,3729,2826,5804,0,10082,22
26743,3560,3218,6370,0,10127,36
29735,3696,3428,7161,0,8950,39
22534,2683,2683,5374,0,7986,35
38976,3918,4118,8144,0,9549,57
34307,3685,3680,6889,0,7753,22
33463,3442,3830,6575,0,9323,28
36047,3863,4168,6954,0,7222,32
37906,3923,4120,7094,0,5888,41
45129,4372,4427,8137,0,4615,22
52984,4829,5128,8684,0,5034,33
54711,5006,5224,9338,1,2171,25
21669,4290,4730,8625,1,1322,49
20913,4865,5235,9939,1,1200,55
22797,5361,6864,9929,1,1381,70
25295,6010,7974,10715,1,1746,104
29802,7356,8331,13508,1,1922,114
32842,8288,10397,14036,1,3329,187
46446,11940,15925,18441,1,4037,235
41558,9677,15628,15959,1,7329,316
64825,15573,18461,30202,1,16171,466
83360,22543,16066,44524,1,19106,313
113491,29663,15698,67201,1,61215,542
148640,36056,21831,89985,1,84304,553
104305,24767,15281,64305,1,96929,468
89232,20344,12403,56982,1,94094,739
185382,37306,16976,130037,1,64561,308
192223,32792,28326,129749,1,33993,292
221372,37192,35388,148125,1,29971,424
134174,25563,19657,86834,1,30804,363
167806,40791,13686,112618,1,32962,288
173930,48705,14686,108251,1,22701,235
139942,40158,13855,86218,1,22697,195
153557,25789,15471,112848,1,18193,197
141698,22649,18470,100575,1,14259,156
84946,19185,20353,46909,1,11547,200
87580,18218,19493,51412,1,11288,216
123875,25452,28203,71515,1,12506,282
116217,29592,27401,60430,1,15247,222
73250,28557,40431,6666,1,17747,294
82360,37712,41194,6768,1,18875,308
55708,26857,26787,4966,1,23439,305
94334,46480,41859,9194,1,29441,302
91480,47093,39403,8428,1,26314,189
83056,44946,35915,5865,1,28967,180
75035,47329,29966,0,1,24423,142
72286,46729,27502,0,1,18619,88
65710,41985,25791,0,1,13502,71
60579,33397,28796,0,1,8799,46
59211,29110,32068,0,1,5788,32
52385,23798,29695,0,1,3776,24
71638,31992,41976,0,1,2983,45
80191,32865,49827,0,1,2150,44
106648,36730,73211,0,1,1818,37
129639,43292,89859,0,1,1942,50
109290,44577,66966,0,1,2366,56
170089,73104,104091,0,1,3323,69
239900,97684,145764,0,1,2780,65
234947,67770,166269,0,1,4417,53
298655,86153,207193,0,1,5472,74
300583,111668,194366,0,1,6451,71
311578,140911,162170,0,1,7796,62
393885,226499,178595,0,1,6952,65
365294,223797,174519,0,1,8639,60
330468,189490,156955,0,1,8519,88
316989,194296,136027,0,1,6960,60
303290,186558,132609,0,1,6452,65
304815,178618,146496,0,1,5607,83
274381,133818,135070,0,1,5269,113
243305,93626,134180,0,1,5654,144
223567,96501,107609,0,1,5466,166
264154,130636,112934,0,1,6592,219
245867,143785,66220,0,1,8148,248
210036,147327,41934,0,1,11972,597
188640,130762,41413,0,1,14157,266
154313,94396,48150,0,1,18863,352
74934,63498,4507,0,1,24194,451
57505,51509,610,0,1,34890,451
60362,55344,487,0,1,34209,569
