TotalVac,Doseone,Series,Booster,Mask,infection,death
5852,1139,655,1202,0,2391,34
6405,1203,702,1236,0,3511,51
7312,1374,754,1392,0,3430,65
7226,1337,791,1347,0,3483,25
6250,1123,697,1286,0,4554,47
7261,1231,688,1412,0,4345,48
10929,2482,1279,2088,0,4847,45
8125,1350,737,1550,0,4421,54
13785,1896,1073,2410,0,4491,41
20135,2490,1525,3437,0,4032,66
15065,1837,1158,2731,0,2961,75
12329,1490,993,2238,0,6068,165
24635,2742,1586,4130,0,9152,90
28333,2898,1873,4405,0,6508,84
32637,3092,2067,5097,0,9237,84
23979,2175,1582,3722,0,9726,74
24823,2700,1725,4080,0,11536,67
40200,3759,2654,6090,0,6337,27
43559,4017,2636,6512,0,5925,60
54351,4259,3083,7531,0,5479,67
72005,5064,3840,9207,0,5312,64
69337,4929,3718,8706,0,5144,52
56021,4259,3177,7004,0,4464,38
73043,5513,4005,8604,0,7458,117
53215,4408,3150,6244,0,1,1
45288,3915,2837,4883,0,3653,40
38197,3461,2866,3952,0,4132,68
9274,2220,1467,1105,0,5300,61
10874,2782,1786,2419,0,7335,77
13808,3224,2040,3058,0,9431,53
15796,3647,2209,3528,0,13273,76
18197,3978,2392,4237,0,15019,67
21166,4335,2699,5148,0,13479,90
26876,4634,2930,6079,0,16344,70
30099,5079,2967,6312,0,14393,69
22255,4249,2413,4903,0,15854,58
18237,4048,2298,4279,0,12837,48
23929,5594,2722,5383,0,12343,83
24079,3729,2826,5804,0,10083,23
26743,3560,3218,6370,0,10128,37
29735,3696,3428,7161,0,8951,40
22534,2683,2683,5374,0,7987,36
38976,3918,4118,8144,0,9550,58
34307,3685,3680,6889,0,7754,23
33463,3442,3830,6575,0,9324,29
36047,3863,4168,6954,0,7223,33
37906,3923,4120,7094,0,5889,42
45129,4372,4427,8137,0,4616,23
52984,4829,5128,8684,0,5035,34
54711,5006,5224,9338,1,2172,26
21669,4290,4730,8625,1,1323,50
20913,4865,5235,9939,1,1201,56
22797,5361,6864,9929,1,1382,71
25295,6010,7974,10715,1,1747,105
29802,7356,8331,13508,1,1923,115
32842,8288,10397,14036,1,3330,188
46446,11940,15925,18441,1,4038,236
41558,9677,15628,15959,1,7330,317
64825,15573,18461,30202,1,16172,467
83360,22543,16066,44524,1,19107,314
113491,29663,15698,67201,1,61216,543
148640,36056,21831,89985,1,84305,554
104305,24767,15281,64305,1,96930,469
89232,20344,12403,56982,1,94095,740
185382,37306,16976,130037,1,64562,309
192223,32792,28326,129749,1,33994,293
221372,37192,35388,148125,1,29972,425
134174,25563,19657,86834,1,30805,364
167806,40791,13686,112618,1,32963,289
173930,48705,14686,108251,1,22702,236
139942,40158,13855,86218,1,22698,196
153557,25789,15471,112848,1,18194,198
141698,22649,18470,100575,1,14260,157
84946,19185,20353,46909,1,11548,201
87580,18218,19493,51412,1,11289,217
123875,25452,28203,71515,1,12507,283
116217,29592,27401,60430,1,15248,223
73250,28557,40431,6666,1,17748,295
82360,37712,41194,6768,1,18876,309
55708,26857,26787,4966,1,23440,306
94334,46480,41859,9194,1,29442,303
91480,47093,39403,8428,1,26315,190
83056,44946,35915,5865,1,28968,181
75035,47329,29966,0,1,24424,143
72286,46729,27502,0,1,18620,89
65710,41985,25791,0,1,13503,72
60579,33397,28796,0,1,8800,47
59211,29110,32068,0,1,5789,33
52385,23798,29695,0,1,3777,25
71638,31992,41976,0,1,2984,46
80191,32865,49827,0,1,2151,45
106648,36730,73211,0,1,1819,38
129639,43292,89859,0,1,1943,51
109290,44577,66966,0,1,2367,57
170089,73104,104091,0,1,3324,70
239900,97684,145764,0,1,2781,66
234947,67770,166269,0,1,4418,54
298655,86153,207193,0,1,5473,75
300583,111668,194366,0,1,6452,72
311578,140911,162170,0,1,7797,63
393885,226499,178595,0,1,6953,66
365294,223797,174519,0,1,8640,61
330468,189490,156955,0,1,8520,89
316989,194296,136027,0,1,6961,61
303290,186558,132609,0,1,6453,66
304815,178618,146496,0,1,5608,84
274381,133818,135070,0,1,5270,114
243305,93626,134180,0,1,5655,145
223567,96501,107609,0,1,5467,167
264154,130636,112934,0,1,6593,220
245867,143785,66220,0,1,8149,249
210036,147327,41934,0,1,11973,598
188640,130762,41413,0,1,14158,267
154313,94396,48150,0,1,18864,353
74934,63498,4507,0,1,24195,452
57505,51509,610,0,1,34891,452
60362,55344,487,0,1,34210,570
